10971	572	0.559
10971	572	0.559
10971	581	0.624
10971	596	0.539
10971	2309	0.506
10971	2308	0.455
7128	1843	0.472
7128	7186	0.619
7128	7189	0.699
5345	3936	0.352
4961	397	0
4961	2932	0
4961	4137	0
25	1020	0.652
25	1398	0.63
25	5599	0.656
25	1029	0.644
25	7161	0.588
25	5829	0.442
25	5888	0.535
25	5883	0.417
25	7410	0.679
25	1796	0.357
25	7158	0.532
427	51761	0.114
427	820	0.02
427	2588	0.612
1145	808	0.459
71	317	0.286
87	280979	0
87	7791	0.452
8038	1950	0.394
4303	355	0.369
185	0	0
185	3716	0.352
186	4683	0.401
11214	387	0.447
207	4303	0.582
207	572	0.706
207	572	0.706
207	842	0.568
207	842	0.568
207	1385	0.663
207	2309	0.592
207	5871	0.49
207	2908	0.483
207	2931	0.699
207	2932	0.683
207	2932	0.683
207	2792	0.415
207	3320	0.598
207	3551	0.622
207	1147	0.616
207	8517	0.587
207	4193	0.626
207	4214	0.515
207	4293	0.419
207	2475	0.691
207	4846	0.58
207	5058	0.622
207	5894	0.729
207	5894	0.729
207	5879	0.641
207	6647	0.59
207	6774	0.603
207	7015	0.36
207	7248	0.52
207	280979	0
207	2308	0.657
207	4216	0.461
207	4294	0.565
207	4294	0.565
207	7158	0.446
207	4296	0.484
657	1386	0.573
353	5562	0.262
5562	31	0.445
5562	1026	0.625
4878	2983	0.362
317	842	0.676
317	54205	0.618
317	57591	0.317
324	8312	0.569
324	1499	0.452
333	7314	0.303
375	5581	0.482
375	5333	0.391
392	387	0.447
392	9475	0.206
392	11113	0.185
392	5305	0.16
393	387	0.574
394	29984	0.782
394	387	0.391
395	387	0.535
9138	392	0.615
9138	387	0.625
9826	387	0.696
7984	387	0.902
405	196	0.575
10097	280979	0
4217	5599	0.661
4217	6416	0.578
4217	5606	0.64
4217	5608	0.577
4217	5609	0.594
1386	3725	0.844
1386	3458	0.537
1386	3558	0.533
1386	3565	0.635
1386	0	0
1386	7193	0
472	25	0.635
472	672	0.658
472	675	0.633
472	1111	0.743
472	11200	0.752
472	2177	0.541
472	4683	0.726
472	4790	0.483
472	7157	0.676
472	7157	0.676
51761	820	0.305
51761	820	0.305
51761	842	0.265
545	472	0.782
545	672	0.569
545	1111	0.782
545	11200	0.728
545	2177	0.62
545	7157	0.59
545	1263	0.567
545	5884	0.743
551	0	0
8312	1499	0.618
8312	2931	0.607
8312	4214	0.43
8312	4216	0.435
154	0	0
154	0	0
572	578	0.715
572	581	0.701
572	596	0.688
572	596	0.688
572	598	0.662
572	598	0.662
572	842	0.722
572	599	0.468
578	572	0.715
578	598	0.68
578	56616	0.662
578	1329	0.185
581	572	0.701
581	578	0.845
581	596	0.745
581	596	0.745
581	56616	0.636
581	1329	0.134
596	317	0.511
596	572	0.688
596	578	0.709
596	581	0.745
596	598	0.762
596	637	0.632
596	638	0.424
596	6609	0.385
596	10018	0.634
596	1329	0.17
596	9445	0.156
596	5366	0.686
598	317	0.583
598	572	0.662
598	578	0.68
598	581	0.701
598	596	0.762
598	637	0.734
598	638	0.582
598	638	0.582
598	54205	0.543
598	7157	0.599
598	10018	0.717
598	1329	0.149
598	79370	0.548
598	666	0.621
598	5366	0.705
637	578	0.713
637	581	0.78
637	1329	0.167
637	7417	0
638	596	0.424
638	598	0.582
332	56616	0.426
332	331	0.466
332	56604	0
29760	2885	0.639
29760	7409	0.689
29760	5336	0.582
659	1386	0.429
695	355	0.529
695	5335	0.629
695	5336	0.705
8945	1499	0.322
8945	1499	0.322
2889	5906	0.839
2889	54386	0.367
2889	4893	0.705
0	824	0
0	889	0
0	816	0
0	0	0
0	1452	0
0	1455	0
0	30818	0
0	2978	0
0	4772	0
0	4790	0
0	4846	0
0	50818	0
0	5578	0
0	5319	0
0	5524	0
0	2185	0
0	111	0
0	89	0
0	801	0
0	821	0
0	811	0
0	10156	0
0	8448	0
0	1759	0
0	3208	0
0	23413	0
0	22895	0
0	10125	0
0	6717	0
0	9900	0
0	6853	0
0	6857	0
0	7447	0
0	4934	0
23523	10014	0.468
23523	0	0
790	1676	0.225
5535	23523	0
5535	4772	0
5535	4842	0
823	581	0.316
823	637	0.328
823	23523	0.308
823	842	0.275
823	5747	0.36
823	5829	0.234
823	5879	0.264
823	387	0.291
823	7094	0.336
823	4137	0.391
823	7430	0.33
823	2890	0.201
823	4133	0.288
823	2903	0.126
823	6712	0.194
824	23523	0.337
824	5747	0.349
824	5829	0.348
824	7094	0.395
831	823	0.367
831	7430	0.185
889	23523	0.386
889	5535	0
889	8536	0.439
889	4772	0.388
889	2185	0.512
8536	1385	0.426
8536	10014	0.521
8536	4208	0.473
8536	9734	0.479
8536	5879	0.415
8536	6853	0.324
816	1385	0.6
816	4137	0.418
820	10411	0.254
820	5567	0.236
820	5567	0.236
820	5576	0.291
820	11069	0.262
820	5566	0.245
820	1260	0.304
10487	4661	0.511
10487	4661	0.511
10498	1387	0.603
10498	1499	0.351
10498	2033	0.492
843	317	0.66
843	836	0.581
843	2188	0.602
843	248	0.098
843	7157	0.416
835	637	0.706
835	4000	0.605
836	317	0.726
836	317	0.726
836	572	0.661
836	581	0.667
836	596	0.593
836	598	0.655
836	637	0.631
836	790	0.233
836	839	0.726
836	840	0.751
836	841	0.721
836	5591	0.431
836	5747	0.605
836	6711	0.338
836	6711	0.338
836	2620	0.594
836	2934	0.612
836	2934	0.612
836	1676	0.639
836	1676	0.639
836	4214	0.375
836	5062	0.67
836	142	0.436
836	5925	0.386
836	6093	0.581
836	331	0.607
836	10018	0.721
836	0	0
836	1982	0.567
836	4207	0
836	5305	0.182
836	10887	0
836	5527	0.526
836	22985	0.706
836	4170	0.572
836	4719	0.388
839	836	0.726
839	1676	0.769
839	4000	0.488
839	4000	0.488
839	4001	0.7
839	84823	0
839	5058	0.35
840	790	0.268
840	790	0.268
840	842	0.636
840	5747	0.429
840	1676	0.819
840	142	0.323
840	4207	0
840	10887	0
841	4217	0.618
841	4217	0.618
841	637	0.611
841	843	0.658
841	836	0.721
841	248	0.247
841	9525	0.302
841	8737	0.775
841	10887	0
841	9191	0
842	836	0.732
842	836	0.732
842	839	0.436
842	839	0.436
842	840	0.636
847	6098	0.347
867	1956	0.621
867	5335	0.594
867	7535	0.416
867	916	0.615
867	2263	0.322
867	10818	0.705
