10971	572	0.448
10971	572	0.448
10971	581	0.545
10971	596	0.419
10971	2309	0.491
10971	2308	0.401
7128	1843	0.39
7128	7186	0.55
7128	7189	0.616
5345	3936	0.264
4961	397	0
4961	2932	0
4961	4137	0
25	1020	0.522
25	1398	0.516
25	5599	0.529
25	1029	0.542
25	7161	0.483
25	5829	0.38
25	5888	0.453
25	5883	0.361
25	7410	0.534
25	1796	0.332
25	7158	0.441
427	51761	0.203
427	820	0.111
427	2588	0.576
1145	808	0.429
71	317	0.302
87	280979	0
87	7791	0.393
8038	1950	0.334
4303	355	0.431
185	0	0
185	3716	0.334
186	4683	0.376
11214	387	0.452
207	4303	0.5
207	572	0.564
207	572	0.564
207	842	0.482
207	842	0.482
207	1385	0.569
207	2309	0.475
207	5871	0.419
207	2908	0.423
207	2931	0.584
207	2932	0.575
207	2932	0.575
207	2792	0.335
207	3320	0.51
207	3551	0.52
207	1147	0.523
207	8517	0.482
207	4193	0.513
207	4214	0.4
207	4293	0.272
207	2475	0.637
207	4846	0.484
207	5058	0.49
207	5894	0.632
207	5894	0.632
207	5879	0.543
207	6647	0.455
207	6774	0.522
207	7015	0.326
207	7248	0.412
207	280979	0
207	2308	0.567
207	4216	0.383
207	4294	0.497
207	4294	0.497
207	7158	0.305
207	4296	0.398
657	1386	0.404
353	5562	0.218
5562	31	0.323
5562	1026	0.543
4878	2983	0.31
317	842	0.685
317	54205	0.602
317	57591	0.203
324	8312	0.469
324	1499	0.392
333	7314	0.27
375	5581	0.317
375	5333	0.406
392	387	0.458
392	9475	0.277
392	11113	0.232
392	5305	0.169
393	387	0.527
394	29984	0.702
394	387	0.414
395	387	0.476
9138	392	0.543
9138	387	0.547
9826	387	0.621
7984	387	0.379
405	196	0.526
10097	280979	0
4217	5599	0.551
4217	6416	0.501
4217	5606	0.539
4217	5608	0.537
4217	5609	0.514
1386	3725	0.811
1386	3458	0.415
1386	3558	0.299
1386	3565	0.452
1386	0	0
1386	7193	0
472	25	0.562
472	672	0.568
472	675	0.493
472	1111	0.629
472	11200	0.653
472	2177	0.461
472	4683	0.614
472	4790	0.402
472	7157	0.597
472	7157	0.597
51761	820	0.201
51761	820	0.201
51761	842	0.376
545	472	0.7
545	672	0.529
545	1111	0.699
545	11200	0.683
545	2177	0.465
545	7157	0.527
545	1263	0.468
545	5884	0.635
551	0	0
8312	1499	0.538
8312	2931	0.487
8312	4214	0.349
8312	4216	0.424
154	0	0
154	0	0
572	578	0.64
572	581	0.654
572	596	0.558
572	596	0.558
572	598	0.583
572	598	0.583
572	842	0.655
572	599	0.392
578	572	0.64
578	598	0.61
578	56616	0.593
578	1329	0.235
581	572	0.654
581	578	0.789
581	596	0.68
581	596	0.68
581	56616	0.619
581	1329	0.204
596	317	0.425
596	572	0.558
596	578	0.626
596	581	0.68
596	598	0.707
596	637	0.532
596	638	0.323
596	6609	0.359
596	10018	0.528
596	1329	0.221
596	9445	0.119
596	5366	0.578
598	317	0.532
598	572	0.583
598	578	0.61
598	581	0.649
598	596	0.707
598	637	0.649
598	638	0.45
598	638	0.45
598	54205	0.476
598	7157	0.508
598	10018	0.612
598	1329	0.205
598	79370	0.465
598	666	0.566
598	5366	0.611
637	578	0.62
637	581	0.745
637	1329	0.191
637	7417	0
638	596	0.323
638	598	0.45
332	56616	0.394
332	331	0.475
332	56604	0
29760	2885	0.539
29760	7409	0.592
29760	5336	0.554
659	1386	0.365
695	355	0.524
695	5335	0.54
695	5336	0.61
8945	1499	0.336
8945	1499	0.336
2889	5906	0.819
2889	54386	0.282
2889	4893	0.654
0	824	0
0	889	0
0	816	0
0	0	0
0	1452	0
0	1455	0
0	30818	0
0	2978	0
0	4772	0
0	4790	0
0	4846	0
0	50818	0
0	5578	0
0	5319	0
0	5524	0
0	2185	0
0	111	0
0	89	0
0	801	0
0	821	0
0	811	0
0	10156	0
0	8448	0
0	1759	0
0	3208	0
0	23413	0
0	22895	0
0	10125	0
0	6717	0
0	9900	0
0	6853	0
0	6857	0
0	7447	0
0	4934	0
23523	10014	0.314
23523	0	0
790	1676	0.288
5535	23523	0
5535	4772	0
5535	4842	0
823	581	0.304
823	637	0.317
823	23523	0.279
823	842	0.31
823	5747	0.357
823	5829	0.32
823	5879	0.31
823	387	0.321
823	7094	0.373
823	4137	0.364
823	7430	0.342
823	2890	0.344
823	4133	0.31
823	2903	0.283
823	6712	0.19
824	23523	0.231
824	5747	0.296
824	5829	0.296
824	7094	0.29
831	823	0.291
831	7430	0.183
889	23523	0.478
889	5535	0
889	8536	0.344
889	4772	0.363
889	2185	0.45
8536	1385	0.351
8536	10014	0.393
8536	4208	0.367
8536	9734	0.404
8536	5879	0.328
8536	6853	0.248
816	1385	0.542
816	4137	0.342
820	10411	0.163
820	5567	0.211
820	5567	0.211
820	5576	0.23
820	11069	0.143
820	5566	0.183
820	1260	0.138
10487	4661	0.343
10487	4661	0.343
10498	1387	0.583
10498	1499	0.316
10498	2033	0.502
843	317	0.561
843	836	0.533
843	2188	0.244
843	248	0.169
843	7157	0.367
835	637	0.625
835	4000	0.476
836	317	0.705
836	317	0.705
836	572	0.573
836	581	0.621
836	596	0.522
836	598	0.596
836	637	0.58
836	790	0.269
836	839	0.634
836	840	0.724
836	841	0.681
836	5591	0.285
836	5747	0.528
836	6711	0.266
836	6711	0.266
836	2620	0.513
836	2934	0.52
836	2934	0.52
836	1676	0.601
836	1676	0.601
836	4214	0.326
836	5062	0.588
836	142	0.394
836	5925	0.388
836	6093	0.534
836	331	0.546
836	10018	0.664
836	0	0
836	1982	0.48
836	4207	0
836	5305	0.222
836	10887	0
836	5527	0.435
836	22985	0.625
836	4170	0.563
836	4719	0.352
839	836	0.634
839	1676	0.639
839	4000	0.48
839	4000	0.48
839	4001	0.73
839	84823	0.256
839	5058	0.277
840	790	0.279
840	790	0.279
840	842	0.627
840	5747	0.414
840	1676	0.669
840	142	0.3
840	4207	0
840	10887	0
841	4217	0.523
841	4217	0.523
841	637	0.564
841	843	0.566
841	836	0.681
841	248	0.226
841	9525	0.232
841	8737	0.716
841	10887	0
841	9191	0
842	836	0.722
842	836	0.722
842	839	0.393
842	839	0.393
842	840	0.627
847	6098	0.317
867	1956	0.542
867	5335	0.494
867	7535	0.406
867	916	0.556
867	2263	0.334
867	10818	0.645
1387	3725	0.577
1387	1499	0.46
1387	2002	0.548
1387	2099	0.606
1387	7088	0.526
1387	3932	0.416
1387	8874	0.395
1387	8850	0.686
1387	6932	0.493
1387	10011	0.291
890	983	0.429
890	1017	0.572
890	1019	0.482
890	1021	0.369
890	1869	0.438
891	983	0.51
595	1869	0.638
595	5925	0.606
595	5925	0.606
894	5925	0.234
896	5925	0.234
898	5925	0.627
0	1385	0
0	3708	0
929	7097	0.762
929	7099	0.667
948	1432	0.607
920	7535	0.636
5788	3932	0.622
995	983	0.468
995	983	0.468
993	1017	0.588
993	1021	0.482
995	983	0.468
997	898	0.606
997	1869	0.391
998	5871	0.365
998	4214	0.345
998	4293	0.148
998	5058	0.522
998	8936	0.415
998	4216	0.344
998	4294	0.349
998	4294	0.349
998	7454	0.498
998	10188	0.348
998	4296	0.328
983	572	0.492
983	891	0.51
983	5347	0.588
1017	1869	0.543
1017	5715	0.555
1017	5925	0.53
1020	317	0.489
1020	84152	0.311
1020	5604	0.427
1020	5058	0.512
1020	4137	0.471
1020	282378	0
1020	4744	0.417
1021	596	0.34
1021	5925	0.487
1022	1017	0.566
1050	3725	0.469
1111	995	0.527
1111	995	0.527
1111	5545	0.256
1111	7157	0.475
11200	672	0.596
11200	5545	0.256
11200	7157	0.542
1123	5879	0.402
8646	659	0.521
56616	332	0.394
56616	248	0.169
56616	331	0.509
56616	330	0.476
56616	79444	0.445
329	836	0.59
329	840	0.505
3725	1385	0.795
3725	10018	0.385
3725	8739	0.205
1452	4772	0.494
1452	11076	0.183
1452	7157	0.353
1455	84152	0.449
1456	1409	0.205
1456	5187	0.356
1457	324	0.51
1457	637	0.437
1457	638	0.305
1457	8215	0
1457	5601	0.455
1457	5601	0.455
1457	6722	0.312
1457	7471	0.49
9575	406	0.799
4609	1029	0.557
4609	6667	0.502
1073	317	0.168
1385	1387	0.589
1385	2668	0.509
1385	0	0
1385	8660	0.578
1385	2959	0.263
1385	6872	0.464
1390	1385	0.547
1390	30818	0.979
1398	25	0.516
1398	2889	0.612
1398	1793	0.71
1398	11184	0.496
1398	9743	0.38
1399	2889	0.692
1399	1793	0.512
1409	581	0.398
1409	598	0.417
1436	2113	0.403
1436	6196	0.478
1445	5747	0.468
1445	3932	0.633
1445	4067	0.529
1445	5829	0.404
1445	6714	0.519
1487	3172	0.42
1487	8204	0.511
5932	672	0.515
1499	1387	0.46
1499	9734	0.484
1499	3172	0.445
1499	7314	0.443
1499	51176	0.594
1499	51176	0.594
1499	6932	0.48
54205	317	0.602
54205	834	0.523
54205	56616	0.633
54205	5187	0.274
25802	820	0.11
28503	5495	0
1605	1040	0.284
1605	50818	0
1605	5578	0.356
1605	10125	0.288
84152	1020	0.311
84152	2644	0.432
84152	5464	0.21
84152	5501	0.375
1616	4217	0.588
1616	6416	0.366
5694	898	0.434
5694	1499	0.288
5694	1869	0.467
5694	4193	0.403
5694	5715	0.93
5694	6622	0.333
1040	50818	0
0	2911	0
1730	5216	0.189
22943	7471	0.422
22943	4035	0.392
5591	7157	0.394
1793	207	0.397
0	25802	0
0	28503	0
0	1812	0
0	1813	0
0	1814	0
7027	898	0.671
8718	841	0.559
30818	1385	0.546
30818	1385	0.546
30818	2353	0.6
30818	0	0
30818	3750	0.558
30818	3751	0.336
30818	8739	0.296
8215	2931	0
8215	2932	0
0	5610	0
8655	5879	0.427
8655	10018	0.539
2118	1029	0.377
1869	637	0.525
1869	7027	0.812
1869	1029	0.591
1869	5925	0.649
1869	5925	0.649
1869	4088	0.576
1869	10018	0.542
1869	8739	0.273
1869	5366	0.461
1869	27113	0.508
1738	7341	0.288
10682	1977	0.291
10682	1981	0.288
51295	4214	0.133
1909	4683	0.311
1950	1956	0.678
1956	843	0.389
1956	867	0.542
1956	2064	0.756
1956	2885	0.571
1956	5604	0.629
1956	4214	0.47
1956	4772	0.488
1956	1432	0.583
1956	5335	0.64
1956	2185	0.623
1956	5879	0.56
1956	29984	0.393
1956	6464	0.67
1956	6714	0.608
1956	6772	0.497
1956	6774	0.566
1956	7409	0.556
1956	8936	0.289
1956	2035	0.179
1956	4690	0.478
1956	5921	0.452
1956	2065	0.628
1956	6646	0.235
1959	572	0.359
1959	664	0.363
1959	665	0.306
1978	1973	0.693
1978	1977	0.822
1978	1977	0.822
1967	1965	0.619
1967	1965	0.619
1967	1147	0.371
8661	1973	0.758
1973	6194	0.719
1975	1973	0.93
1975	6194	0.737
1983	1965	0.765
2002	3725	0.858
2002	2353	0.889
2002	0	0
10411	0	0
10411	5906	0.77
10411	54386	0.276
2057	6464	0.455
2064	2885	0.627
2064	5290	0.577
2064	5335	0.664
2064	6464	0.744
2064	6714	0.603
2064	5921	0.569
2064	6640	0.277
2064	2886	0.486
5595	2002	0.72
5595	4638	0.237
5595	8569	0.51
5595	9252	0.819
5595	6196	0.684
5595	2872	0.494
5595	10524	0.452
5595	8986	0.64
5594	842	0.546
5594	1387	0.555
5594	3725	0.729
5594	1385	0.81
5594	1956	0.658
5594	1958	0.44
5594	2002	0.718
5594	5595	0.916
5594	2353	0.746
5594	5599	0.745
5594	9261	0.761
5594	4082	0.22
5594	4638	0.253
5594	8569	0.539
5594	9252	0.798
5594	6196	0.763
5594	5163	0.403
5594	27124	0.214
5594	5319	0.535
5594	6197	0.749
5594	6773	0.482
5594	4137	0.233
5594	3172	0.431
5594	3751	0.309
5594	4207	0
5594	79092	0.42
5594	4744	0.23
5594	4741	0.317
5594	9373	0.49
5594	6195	0.761
5594	10657	0.522
5594	6853	0.32
5594	2872	0.517
5594	10524	0.434
5594	8986	0.585
5598	4205	0.706
5598	6196	0.753
5598	7020	0.391
0	2069	0
0	53615	0
2114	2113	0.509
2160	2158	0.692
2165	2147	1
2147	2243	0.464
2147	2149	0.613
2155	2159	0.922
8772	843	0.488
8772	841	0.752
8772	4615	0.656
8772	4790	0.612
8772	6609	0.416
8772	9191	0
5747	5594	0.61
5747	2534	0.578
5747	2885	0.562
5747	3569	0.549
5747	9564	0.606
5747	5290	0.594
5747	5335	0.62
5747	5829	0.448
5747	6464	0.604
5747	6714	0.67
5747	89	0.312
5747	50807	0.568
5747	23092	0.433
5747	2886	0.465
5747	1969	0.594
8439	6610	0.747
2178	2177	1
2191	841	0.409
2191	2188	0.224
355	1616	0.548
355	1956	0.431
355	8772	0.591
355	356	0.789
355	3552	0.489
355	4790	0.439
355	8737	0.61
355	5777	0.485
355	10016	0.514
355	5783	0.093
355	23017	0.395
356	355	0.789
356	355	0.789
0	0	0
2243	3688	0.523
2309	356	0.589
2309	10018	0.501
0	427	0
2353	3725	0.897
10023	2931	0
10023	2932	0
8321	8215	0
8321	175	0.205
8321	3936	0.348
8321	3936	0.348
8321	408	0.422
2488	2492	0.468
2534	1499	0.351
2534	1600	0
2534	5335	0.717
2534	6464	0.707
2534	6773	0.418
2534	2890	0.463
2534	775	0.408
2534	2903	0.476
2534	203068	0.351
175	8215	0
175	5595	0.755
175	2776	0.333
175	2792	0.126
175	5294	0.318
2549	1398	0.614
2549	11184	0.526
2549	5295	0.665
2549	5290	0.649
2549	5290	0.649
2549	4215	0.494
1647	983	0.467
1647	4216	0.626
2770	427	0.247
2770	2782	0.703
2770	5290	0.514
2770	5294	0.489
2770	5879	0.445
2770	6714	0.467
2770	673	0.444
2770	5909	0.458
2770	629	0.171
9628	92170	0.367
9628	5879	0.26
2776	92170	0.288
2776	5604	0.469
2776	23236	0.426
2776	3339	0.271
2626	6767	0.338
2626	6722	0.661
2782	2770	0.703
2782	9181	0.482
2782	2792	0.73
2782	5290	0.57
79751	92170	0.077
2978	83733	0
5871	4214	0.589
440275	1965	0.503
0	1965	0
0	92170	0
0	3838	0
0	5295	0
0	5062	0
0	5894	0
0	5901	0
0	5879	0
0	387	0
9181	207	0.515
9181	375	0.345
9181	392	0.444
9181	5879	0.505
9181	29984	0.503
2934	842	0.398
2934	280979	0
2670	7314	0
9771	5567	0.349
2688	2690	0.643
2690	3479	0.485
2690	5290	0.465
2767	427	0.192
2767	891	0.303
2767	2776	0.737
2767	5606	0.515
2767	4661	0.16
2767	23236	0.416
2767	629	0.186
2768	11214	0.549
2768	9138	0.436
2768	387	0.535
2768	10160	0.251
2768	6714	0.5
2768	5921	0.452
2768	5607	0.412
2768	5589	0.473
2768	7006	0.531
10672	9138	0.475
10672	4217	0.433
10672	998	0.48
10672	2185	0.392
10672	10160	0.294
10672	5962	0.205
2769	1605	0.247
2769	23236	0.359
23566	4878	0.305
2876	2937	0.462
2908	1843	0.294
2908	5290	0.372
2885	867	0.561
2885	5595	0.611
2885	2549	0.689
2885	5335	0.722
2885	5879	0.619
2885	6464	0.734
2885	6654	0.804
2885	10252	0.461
2885	7410	0.738
2885	8936	0.405
2885	1759	0.189
2885	5786	0.253
2885	10657	0.457
2885	1	0.251
7088	3172	0.438
7088	51176	0.531
2937	0	0
2931	8312	0.487
2931	3725	0.459
2931	1385	0.554
2931	1499	0.419
2931	4286	0.193
2931	4772	0.434
2931	5663	0.405
2931	4137	0.225
2931	64682	0.295
2931	5055	0.234
2931	8894	0.229
2932	207	0.575
2932	8312	0.542
2932	595	0.384
2932	1499	0.489
2932	1965	0.326
2932	2931	0.685
2932	6608	0.499
2932	4137	0.306
2936	0	0
0	2937	0
92170	1730	0.128
92170	0	0
92170	5604	0.177
92170	4214	0.152
92170	2644	0.171
92170	6198	0.254
92170	5058	0.193
92170	5334	0
92170	5337	0.221
92170	23647	0.216
92170	5894	0.2
92170	5901	0.227
92170	5879	0.196
92170	5879	0.196
92170	387	0.188
92170	6093	0.207
92170	8936	0.202
92170	10163	0.167
92170	10810	0.221
2792	5595	0.426
2792	5595	0.426
2792	5594	0.497
2792	175	0.126
2792	2782	0.73
2792	3672	0.319
2792	4214	0.456
2792	5335	0.458
2792	5879	0.366
2792	8720	0.31
2792	6464	0.442
3002	637	0.703
3002	842	0.598
3002	842	0.598
3002	5864	0.345
0	581	0
0	0	0
10542	0	0
10542	0	0
10542	842	0.411
10542	2185	0.361
9734	7088	0.505
9734	51176	0.506
3065	6615	0.489
8841	2033	0.561
3091	637	0.314
3091	8874	0.384
3091	664	0.41
3091	665	0.237
3091	5366	0.401
27102	1965	0.415
3315	836	0.503
3315	1616	0.41
3315	1329	0.268
3337	4193	0.239
3337	7314	0.202
3308	317	0.093
3308	9131	0.214
3320	196	0.368
3320	317	0.285
3320	332	0.429
3320	5728	0.447
5688	8544	0.241
3364	545	0.705
0	207	0
0	1994	0
0	7157	0
248	842	0.193
29851	1455	0.187
1676	790	0.288
1676	790	0.288
1676	1677	0.864
8837	841	0.535
8837	8772	0.511
8837	8772	0.511
3458	3459	0.466
3458	3717	0.603
3459	3308	0.182
3459	3716	0.753
3459	3717	0.486
3459	9093	0.37
3459	30851	0.475
3479	3480	0.536
3480	207	0.553
3480	5535	0
3480	8536	0.399
3480	5595	0.59
3480	5594	0.603
3480	3667	0.638
3480	4772	0.558
3480	5290	0.545
3480	5578	0.56
3480	6464	0.685
3480	7410	0.527
3480	408	0.453
3480	2887	0.442
4792	3558	0.392
4792	3558	0.392
4792	3565	0.47
4792	3565	0.47
4792	4790	0.775
4792	4790	0.775
4792	50818	0
4792	5970	0.74
4793	0	0
4793	4790	0.741
3551	4792	0.798
3551	4790	0.794
1147	4792	0.762
1147	4790	0.766
8517	4792	0.795
8517	4790	0.743
3595	3717	0.458
3552	3576	0.5
3553	3554	0.314
3553	5606	0.478
3554	51295	0.171
3554	7189	0.422
3565	3566	0.309
3569	3570	0.733
3838	5901	0.459
3643	3667	0.612
3643	5608	0.465
3643	6464	0.616
3643	6776	0.401
3643	10603	0.381
3643	2887	0.482
3643	8660	0.549
0	3643	0
808	207	0.592
808	0	0
808	3708	0.607
808	50818	0
3708	0	0
3708	84876	0.362
3654	10454	0.837
3654	23118	0.835
3654	7097	0.712
3654	7099	0.655
3654	7189	0.859
3667	5595	0.571
3667	2885	0.66
3667	5290	0.609
3667	4690	0.405
148022	9641	0.837
148022	29110	0.694
3672	332	0.326
3672	836	0.409
3672	2353	0.268
3672	5290	0.413
3672	5977	0.285
3672	331	0.32
3688	5595	0.402
3688	5747	0.537
3688	2309	0.342
3688	3717	0.444
3688	2185	0.449
3688	6464	0.451
3688	6464	0.451
3688	3611	0.51
3716	3717	0.55
3716	6464	0.484
3716	6772	0.493
3716	6773	0.747
3716	6774	0.435
3716	3718	0.485
3716	6646	0.143
3716	6778	0.535
3717	3716	0.55
3717	55566	0
3717	6772	0.586
3717	6774	0.595
3717	6776	0.442
3717	7297	0.507
5599	1386	0.749
5599	572	0.567
5599	596	0.575
5599	596	0.575
5599	637	0.513
5599	834	0.573
5599	3725	0.75
5599	2002	0.734
5599	356	0.568
5599	2353	0.76
5599	5601	0.78
5599	5604	0.731
5599	4772	0.512
5599	7157	0.551
5599	6464	0.553
5599	4137	0.267
5599	3172	0.355
5599	10018	0.561
5599	90427	0.443
5599	4170	0.414
5599	319	0.149
6416	5599	0.774
6416	5600	0.83
6416	5601	0.9
6416	1432	0.699
6416	8660	0.512
6416	5602	0.938
3726	2625	0.296
0	207	0
3912	7314	0.229
27040	2885	0.707
27040	5335	0.633
3932	5335	0.65
3932	5894	0.587
3932	7410	0.586
3932	7535	0.621
3932	916	0.568
3932	10870	0.317
3932	83696	0
3952	3953	0.341
3953	5562	0.318
3984	317	0.42
3984	1073	0.32
3984	1072	0.645
7376	9971	0.517
4067	695	0.572
4067	5295	0.591
4067	5335	0.592
4067	5879	0.582
4067	6464	0.642
4067	7409	0.582
4067	203068	0.289
4067	613	0.498
4067	930	0.475
8567	6416	0.51
11184	5594	0.591
11184	5599	0.527
11183	4214	0.563
5600	2002	0.877
5600	5605	0.829
5600	8569	0.504
5600	9252	0.803
5600	2872	0.509
5600	1649	0.539
5600	7867	0.853
5600	7020	0.399
5600	8986	0.541
5603	1050	0.343
5603	29904	0.389
5601	1386	0.85
5601	3725	0.85
5601	5595	0.692
5601	2353	0.896
5601	2353	0.896
5601	5544	0.181
5601	0	0
5601	3558	0.353
5601	3565	0.455
5601	3717	0.418
5601	6351	0.464
5601	4772	0.615
5601	7157	0.393
5601	6196	0.817
5601	2185	0.407
5601	6464	0.524
5601	319	0.131
9261	3150	0.39
9261	3315	0.526
9261	9252	0.739
4082	5535	0
53615	6615	0.18
1729	317	0.303
1729	10458	0.437
1729	6714	0.354
4193	2033	0.567
4193	7157	0.554
4193	408	0.462
4193	7158	0.337
4205	10014	0.521
4205	9734	0.515
4209	5535	0
5604	596	0.489
5604	823	0.314
5604	1385	0.777
5604	2002	0.753
5604	5595	0.811
5604	5594	0.877
5604	2353	0.754
5604	6416	0.797
5604	5601	0.762
5604	4638	0.271
5604	9252	0.755
5604	6198	0.567
5604	6196	0.843
5604	6197	0.759
5604	9612	0.44
5604	6654	0.674
5604	280979	0
5604	10018	0.486
5604	10818	0.669
5604	4170	0.422
5604	8986	0.518
5605	1385	0.784
5605	5595	0.84
5605	5594	0.895
5605	3315	0.455
5605	5604	0.932
5606	5599	0.752
5606	5600	0.881
5606	5603	0.534
5606	1432	0.74
5608	5599	0.735
5608	5600	0.89
5608	5603	0.552
5608	4790	0.642
5608	1432	0.776
5608	6300	0.713
4214	1147	0.758
4214	5599	0.723
4214	6416	0.909
4214	5604	0.728
4214	5606	0.881
4214	5609	0.83
4214	1432	0.636
4214	9612	0.356
4214	6885	0.806
4214	2043	0.262
4214	6548	0.214
4233	355	0.45
4233	6774	0.55
2117	11218	0.422
2117	1874	0.625
2911	2776	0.482
2911	2767	0.633
2911	23236	0.462
2911	0	0
2911	0	0
9734	4205	0.515
5609	5599	0.765
5609	5601	0.872
5609	5602	0.904
1843	5594	0.382
1843	3320	0.328
1843	5599	0.402
1843	5600	0.369
1843	5603	0.476
1843	1432	0.342
1843	1432	0.342
1843	6300	0.498
23209	5829	0.277
4638	23209	0.282
4638	103910	0.431
4638	4542	0.26
4638	9220	0.176
4638	3680	0.242
4660	103910	0.32
4660	9220	0.428
4660	3680	0.274
4293	6416	0.252
4293	5608	0.339
4293	5609	0.294
8569	1977	0.445
103910	4542	0.26
9252	1385	0.823
9252	1978	0.461
9252	466	0.81
2475	10682	0.386
2475	1978	0.519
2475	6198	0.637
2475	5524	0.321
4615	3654	0.734
4615	4214	0.719
4615	9020	0.499
4615	7124	0.449
4615	51135	0.726
4661	891	0.267
4661	983	0.816
4738	5715	0.372
4772	356	0.524
4772	4205	0.549
4790	1387	0.544
4790	5595	0.676
4790	8439	0.374
4790	356	0.473
4790	248	0.184
4790	3458	0.51
4790	4792	0.775
4790	3551	0.794
4790	8517	0.743
4790	3558	0.359
4790	3565	0.487
4790	3569	0.518
4803	4914	0.71
4804	5879	0.421
9020	3551	0.463
9020	1147	0.505
9020	4214	0.497
9020	4690	0.42
51701	3172	0.394
51701	51176	0.338
4842	1487	0.39
4842	387	0.373
4842	0	0
4846	5138	0.426
4846	5138	0.426
27035	0	0
5579	4792	0.513
5579	5604	0.525
5579	5879	0.464
4909	4915	0.307
4914	1398	0.519
4914	5598	0.496
4914	2885	0.507
4914	3667	0.495
4914	5290	0.484
4914	5335	0.584
4914	6464	0.606
4914	9743	0.393
3164	581	0.384
3164	596	0.433
0	0	0
5933	898	0.627
5933	7027	0.779
4839	6774	0.435
5295	5290	0.881
5295	6654	0.706
5295	5291	0.858
9564	2889	0.58
9564	1398	0.627
1029	1869	0.591
1029	4193	0.533
1029	5290	0.314
1029	5925	0.614
1030	1021	0.565
1031	1019	0.624
2909	29984	0.573
2909	0	0
5375	2776	0
5375	2776	0
5375	2931	0
5375	2931	0
1026	10097	0.375
1026	10096	0.376
1026	890	0.51
1026	898	0.532
1026	983	0.617
1026	1017	0.607
